ticker,dollar_volume,exodus_ratio,volatility,final_drop_pct,death_date
YHOO,45063476686.75753,8.811417131857322,0.0012214290251539577,0.07497378538972387,2017-06
TWTR,33422622907.54755,0.9985046737536302,0.0019267565250260456,0.003146400148065921,2022-10
CELG,32288024095.71543,14.119599706354256,0.0005279396774263547,0.018834080717488738,2019-11
ALXN,25989224704.4497,18.843247223606074,0.00058682431766523,0.026595744680851064,2021-07
LEH,21648480929.851723,5.643034637775481,0.019624382847623103,0.9930773391022174,2008-09
RAI,17432484958.93559,12.00199424955846,0.00037623045761250206,0.020898641588296636,2017-07
KSU,16483232690.029379,19.616823494786598,0.0007778795063409172,0.028973044484868687,2021-12
PCLN,15696387877.2773,1.0415498956343203,0.0014297201983734448,0.01155136909917993,2018-02
TWX,15066662373.74178,9.909836170812357,0.000738336727459191,0.011903590752582469,2018-06
XLNX,14996932050.346668,2.8755057112354905,0.002159473973860384,0.15529010238907842,2022-02
ABMD,14925519325.74879,8.408476347503912,0.0001669356076585733,0.0019108446980602607,2022-12
AET,14574741466.601068,2.8343107617192502,0.00048761585534355244,0.0005151018496839787,2018-11
CMX,13479631864.119438,2.193814186383826,0.0012706469862692608,0.0009189768724154123,2007-03
BRCM,12508181095.10542,1.5454906528985923,0.0008651063233780971,0.049374130737134966,2016-01
SIVB,11072903736.849365,30.952471832605198,0.009847766776938244,0.8636253504551591,2023-03
MXIM,10860286811.904902,4.520212790847702,0.0013386785108017378,0.03358553238604909,2021-08
KMP,10635989333.752153,4.122230367872153,0.0007786133479325572,0.0020317337461299703,2014-11
BLS,10370342666.316988,0.8353278265024598,0.0006809844188935932,0.004184100418409953,2006-12
COV,9855789168.181389,1.878272460147995,0.00094955850611519,0.008014001473839393,2015-01
WAG,9590848911.94551,1.193165434201422,0.0009562000467995819,0.024624855713736075,2014-12
ESRX,9575214318.985447,3.2625947466448904,0.0010428946622108887,0.09081081081081076,2018-12
BNI,9078325121.373901,0.7149295654937957,0.00029407774685761293,0.0020910086627502532,2010-02
SGEN,8956035575.556068,8.86442525206313,0.0005594197189004226,4.3675751223005444e-05,2023-12
XTO,8150904701.779042,0.768264797265342,0.0009128547224106566,0.07800175284837867,2010-06
FD,8086469265.15484,1.4372320755514034,0.001199037593827378,0.10969899665551842,2007-05
GGP,7895328521.735152,9.225301945136252,0.000527248286304363,0.007859869750729876,2018-08
HET,7857331108.994094,1.8784255132919203,0.0005616847919489694,0.0002222469163239918,2008-01
ABC,7629190186.23248,0.4189309092068846,0.000751775242052636,0.07398641695822197,2023-08
YNDX,7545441261.036981,10.14250581025978,0.007088128466804139,0.724533185431688,2022-02
MER,7479677903.5827675,0.577237307306858,0.0033876953791703046,0.2352941176470589,2008-12
AGN,7146063101.043398,2.3349632278647667,0.0007278233387667122,0.01369723509343652,2020-05
WORK,6765596319.142977,6.297284596305315,0.0006212210469847106,0.00569800569800581,2021-07
APC,6682656095.471061,4.394973260697358,0.00035727071229178374,0.02399463806970499,2019-08
VIAC,6666197570.305373,3.387096322688405,0.0019006760725063959,0.1947311243889191,2022-02
GENZ,6645704175.972383,0.21209643639189282,0.00015483846055198264,0.0019615535504120007,2011-04
PCP,6629417889.401709,2.2816809274769003,0.00020208182650027518,4.2553191489323e-05,2016-01
COL,6590531614.590767,4.292313661980537,0.0009464262766089175,0.0057354689795061425,2018-11
BBL,6553850013.73693,2.818793672946615,0.0009523997763717265,0.07489177489177486,2022-01
IMMU,6538378518.12093,2.2864852579934642,0.0002998764593734281,0.0002274795268425389,2020-10
SPRT,6304739570.318108,1.2066213723438033,0.006063450219304212,0.6602722772277227,2021-09
DATA,6294001472.497232,1.9475342608436081,0.000665142828164654,0.04721392754521379,2019-07
LTR,6223750006.176257,0.5617798087794073,0.0010587268348596405,0.04074074074074067,2008-06
JAH,6055793160.535347,4.335373772065686,0.0005503035681245535,0.018952618453865346,2016-04
ZNGA,5989221880.070863,4.81833148130624,0.0016640417067447346,0.056101792943898145,2022-05
HTA,5755688732.759427,5.1166761064811075,0.002957290587097875,0.03630363036303635,2022-07
ABX,5566009587.698434,1.0846008694812306,0.001419323449954407,0.03916083916083919,2018-12
ATVI,5543447557.322922,1.5871215063481727,0.00022196203966320366,0.0005285971032878439,2023-10
CHNG,5542774535.308791,7.28019067056748,0.0007776790827174571,0.002174700978615394,2022-09
FDC,5335677779.2799635,3.7506386832388845,0.000857672851589939,0.012670256572695552,2019-07
MSCC,5291115367.033661,2.4731465153050314,0.0006088970943229851,0.008935005043954525,2018-05
SPLK,5259466452.237819,3.5339404286692178,0.0001197297096660755,0.00031853220360585695,2024-03
FISV,5202094427.327087,8.058689703497977,0.0007480841325168072,0.011893475825217577,2023-06
ASN,5176237647.116354,2.185154470908567,0.0003136802705387538,0.0,2007-10
HDS,5082581501.596774,3.0623314909253128,0.00046452240311105027,0.015135515663498758,2020-12
VIA.B,5009186975.977896,0.9652535265831931,0.001251756133826337,0.029277813923227095,2011-11
CERN,4981512219.32799,9.215763802177701,8.193194804706091e-05,0.0004210969575743978,2022-06
BCR,4950421521.182371,3.3370349703173297,0.0003090509695912859,0.017055043970035207,2017-12
SWY,4905986603.941815,16.16042418603307,0.0002843197193764649,0.010129431626336506,2015-01
DPS,4835588003.040154,3.0976232114895152,0.00040851483137016646,0.004905508644953756,2018-07
HRS,4824272819.500957,1.5933853780010798,0.0007203998778809301,0.059309866825090436,2019-06
LVLT,4807396063.54385,1.401698744658071,0.0006824153564648323,0.03762766529295827,2017-10
